Date,Opponent,Result,G,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
11/11/2023,@ Rosemont,86-64,1,200:00,26,53,10,24,24,31,86,9,19,28,16,10,10,2,17,,
,Defensive Totals,,1,200:00,22,50,8,20,12,17,64,11,20,31,8,21,5,,24,,1
11/15/2023,Moravian,66-83,1,200:00,27,62,6,26,6,10,66,7,23,30,5,11,7,,22,1,
,Defensive Totals,,1,200:00,26,49,10,15,21,26,83,4,30,34,13,14,4,6,16,1,
11/21/2023,@ Swarthmore,58-77,1,200:00,22,59,4,20,10,13,58,10,23,33,10,13,9,7,16,,
,Defensive Totals,,1,200:00,27,65,8,19,15,17,77,16,29,45,12,10,6,4,15,,
11/28/2023,Dickinson,79-50,1,200:00,32,68,6,20,9,14,79,13,31,44,14,7,14/,2,17,,
,Defensive Totals,,1,200:00,18,56,4,11,10,17,50,11,25,36,10,18,5,4,13,,
12/02/2023,@ Johns Hopkins,44-66,1,200:00,14,53,3,10,13,24,44,9,31,40,5,18,3,1,14,,
,Defensive Totals,,1,200:00,27,72/,7,34,5,11,66,18,36,54,13,11,14/,7,21,,1/
12/06/2023,Haverford,78-72,1,200:00,28,58,9,22,13,22,78,14,17,31,13,10,9,2,11,,
,Defensive Totals,,1,200:00,29,54,9,19,5,7,72,9,21,30,14,17,6,3,18,,
12/09/2023,@ Marymount (VA),72-82,1,200:00,32,65,3,14,5,8,72,8,24,32,10,10,5,1,14,,
,Defensive Totals,,1,200:00,32,67,8,21,10,16,82,14,27,41,17,10,7,5,13,,
12/17/2023,DeSales,60-74,1,200:00,20,57,8,34,12,14,60,8,18,26,11,7,4,,17,,
,Defensive Totals,,1,200:00,27,53,10,20,10,14,74,6,29,35,19,13,5,2,15,,
12/29/2023,"Montclair St.@ Center Valley, PA",74-84,1,200:00,27,61,6,17,14,22,74,14,24,38,14,19,7,4,14,,
