Date,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG
03/20/2021,Franklin & Marshall,8-10,1,8,5,13,41,20,,,32,17,8,11,21,2,90,60:00,10,6,,,,,,15,16,0.938,
,Defensive Totals,,1,10,9,19,30,16,1,,28,16,5,10,21,3,120,60:00,8,12,,,,,,15,19,0.789,
03/27/2021,@ Dickinson,10-11 (4),1,10,6,16,50,24,1,,35,19,9,14,27,5,270,73:56/,11,16,,,,,,17,24,0.708,
,Defensive Totals,,1,11,6,17,49,27,,,33,20,9,13,27,9,450,73:56/,10,14,,,,,,22,24,0.917,1/
04/03/2021,@ Franklin & Marshall,11-12,1,11,7,18,38,20,1,1/,18,16,6,15,26,3,150,60:00,12,11,,,,,,14,16,0.875,
,Defensive Totals,,1,12,10,22,33,23,1,,28,9,9,11,26,8,450,60:00,11,9,,,,,,15,18,0.833,
04/10/2021,Dickinson,15-9,1,15,10,25,48,29,1,,36,9,9,13,28,,,60:00,9,15,,,,,,19,20,0.950,
,Defensive Totals,,1,9,8,17,32,24,,,27,17,4,15,28,2,90,60:00,15,14,,,,,,15,20,0.750,
04/17/2021,@ McDaniel,13-3,1,13,8,21,48,34,2,,34,14,10,15,20,4,210,60:00,3,7,,,,,,23,25,0.920,
,Defensive Totals,,1,3,1,4,21,10,,,15,20,7,5,20,4,240,60:00,13,21,,,,,,15,21,0.714,
04/24/2021,Washington Col.,14-3,1,14,10,24,57,29,1,,32,13,9,12,19,1,30,60:00,3,13,,,,,,24/,26,0.923,
,Defensive Totals,,1,3,1,4,37,16,,,34,15,8,7,19,4,180,60:00,14,15,,,,,,23,25,0.920,
04/28/2021,Ursinus,12-13 (2),1,12,5,17,50,31,3,,34,12,5,16,29,3,120,64:49,13,12,,,,,,16,18,0.889,
,Defensive Totals,,1,13,6,19,51,25,,,29,11,3,13,29,7,300,64:49,12,19,,,,,,18,23,0.783,1/
05/01/2021,@ Haverford,15-8,1,15,9,24,61,35,1,,38,18,9,16,27,2,90,60:00,8,11,,,,,,24/,30/,0.800,
,Defensive Totals,,1,8,3,11,34,19,2,1/,33,20,9,11,27,5,240,60:00,15,20,,,,,,19,22,0.864,
05/08/2021,@ Gettysburg,15-10,1,15,7,22,39,21,1,,33,20,3,16,28,3,150,60:00,10,15,,,,,,20,24,0.833,
,Defensive Totals,,1,10,7,17,44,25,,,30,12,8,12,28,3,90,60:00,15,6,,,,,,16,17,0.941,
